,weapon_rail_11,weapon_rail_12,weapon_rail_13,weapon_rail_14,weapon_rail_15,weapon_rail_16
应元件-号令,4,4,4,2,1,
应元件-同忾,,,3,3,3,2
应元件-增幅,2,3,,,,
应元件-奋发,1|4,2,,,,
应元件-应急,2|4,3,,,,1
应元件-强击,2|3,3,3,1,1,
应元件-强攻,,,,,,4
应元件-战栗,,2,2,3,,
应元件-扩膛,,,4,1,,
应元件-抵抗,2|4,2,2,1,4,1
应元件-挫志,,,,,,1
应元件-整葺,,,,,3,1
应元件-昂扬,1|3,4,1,,,
应元件-模糊,,,,2,2,1
应元件-消弹,,,,4,3,2
应元件-溅射,3|4,1,3,3,4,4
应元件-激励,1|3,3,4,1,3,3
应元件-爆破,3,1,1,,,
应元件-短路,,,,3,4,1
应元件-破臂,4,4,1,,,
应元件-破足,1,2,4,4,,
应元件-破躯,,,,,2,2
应元件-穿甲,2,4,1,3,3,
应元件-腾挪,,4,3,2,2,2
应元件-蓬勃,,,1,4,1,
应元件-超然,,,,,,2
应元件-进发,,,,,1,2
应元件-重整,1|2,2,1,2,2,3
应元件W-号令,,,2,4,1,3
应元件W-增幅,,1,4,,,
应元件W-奋发,,,4,3,,
应元件W-应急,,,4,,,
应元件W-强击,,,3,2,2,3
应元件W-战栗,,,,4,4,4
应元件W-昂扬,,3,2,4,4,4
应元件W-溅射,,,2,,4,4
应元件W-激励,,,,,2,4
应元件W-爆破,,1,2,2,3,
应元件W-破臂,,1,3,1,1,3
应元件W-破足,,,,1,2,3
应元件W-穿甲,,4,3,,,
应元件W-腾挪,,,,,4,
应元件W-蓬勃,,,,,,4
应元件W-重整,,,,,,3
触元件-临敌,2|4,2,,,,1
触元件-侵攻,1|3,3,1,2,,
触元件-共力,,,,,4,2
触元件-决斗,,,,,,2
触元件-凭逸,,,3,4,1,2
触元件-击破,1,2,3,,,
触元件-压迫,3,4,,,,
触元件-反击,2|4,4,1,1,1,
触元件-合击,1|4,4,4,4,3,
触元件-坚守,2|4,2,2|3,1,4,1
触元件-摧朽,,,,1,3,
触元件-攻坚,1|3,2,1,4,2,3
触元件-无患,,,2,1,1,2
触元件-歼灭,3,4,4,,,
触元件-沉着,,2,2,1,,
触元件-激昂,,,,,,1
触元件-焕发,,3,1,3,1,1
触元件-猛袭,,,,,3,2
触元件-猛进,,,,2,3,2
触元件-破近,,,,,2,1
触元件-精准,2,3,1,2,4,3
触元件-背水,1|3,3,1,3,3,
触元件-袭远,,,,4,4,1
触元件-警戒,2|4,1,1,,,
触元件-迅击,,,,,,4
触元件-连击,3,1,4,1,2,4
触元件-遏近,,,4,2,,
触元件-释能,1,2,,,,
触元件W-临敌,,4,2,4,,
触元件W-侵攻,,3,2,3,2,4
触元件W-凭逸,,,,,,3
触元件W-击破,,,,,1,
触元件W-压迫,,1,3,2,,
触元件W-反击,,,2,3,2,4
触元件W-合击,,,3,3,1,3
触元件W-攻坚,,,3,,,
触元件W-歼灭,,,,3,1,
触元件W-沉着,,,3,4,3,3
触元件W-焕发,,,,4,4,3
触元件W-精准,,,,,3,4
触元件W-背水,,,4,2,2,3
触元件W-警戒,,,,,,4
触元件W-连击,,1,4,1,4,4
触元件W-释能,,1,2,,,
